"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"34","Nos ha llegado una hermosa foto desde la CuentaPblica graciaspor su apoyo al debate constructivo sob",FALSE,0,NA,2018-06-04 15:33:07,FALSE,NA,"1003660928347463681",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","claudiavillara1",37,TRUE,FALSE,NA,NA
"35","Los invitamos a revisar y compartir la columna de opinin dePresidente MGZen relacin a la cuentapbli",FALSE,0,NA,2018-06-04 15:32:21,FALSE,NA,"1003660735485014017",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","colmedchile",5,TRUE,FALSE,NA,NA
"36","Junto aestuvimos acompaando a Sebastin Piera en la CuentaPublica 

A seguir luchando por un Chile libre y con m",FALSE,0,NA,2018-06-04 15:32:15,FALSE,NA,"1003660712693125120",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","pablodelapeyra",10,TRUE,FALSE,NA,NA
"37","DESTACADO 
CuentaPublica
Senadorsobre discurso fue de un simplismo ideolgico preocupante",FALSE,0,NA,2018-06-04 15:31:43,FALSE,NA,"1003660577741426691",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","fhrmin",10,TRUE,FALSE,NA,NA
"38","Ayer el Presidenterealiz su primera CuentaPblica donde mostr la hoja de ruta de su Gobierno para",FALSE,0,NA,2018-06-04 15:31:10,FALSE,NA,"1003660440398856192",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PauloHuerta",169,TRUE,FALSE,NA,NA
"39","sobre CuentaPblica en educacin Lo fundamental ahora es dar ms detalles para consolidar la prio",FALSE,1,NA,2018-06-04 15:30:14,TRUE,NA,"1003660205295591425",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","Accioneducar",0,FALSE,FALSE,NA,NA
"40","Los invitamos a revisar y compartir la columna de opinin dePresidente MGZen relacin a la",FALSE,2,NA,2018-06-04 15:28:56,TRUE,NA,"1003659877858840580",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MgzChile",5,FALSE,FALSE,NA,NA
"41","Si el crecimiento econmico fue tan terrible en el Gobierno anterior y an as logramos avanzar a la gratuidad al",FALSE,0,NA,2018-06-04 15:28:30,FALSE,NA,"1003659768853139457",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Nathy_Dluz",2038,TRUE,FALSE,NA,NA
"42","UnDaPerfectoJunto a nuestro columnistaconversamos sobre los anuncios que se hicieron en",FALSE,2,NA,2018-06-04 15:28:29,TRUE,NA,"1003659762637172736",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","pauta_cl",1,FALSE,FALSE,NA,NA
"43","El Presidenteratific en su CuentaPblica la postura de Chile con respecto a su Poltica Exterior",FALSE,0,NA,2018-06-04 15:27:39,FALSE,NA,"1003659554998177793",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Adrianota73",64,TRUE,FALSE,NA,NA
"44","AlertaChileCheck CuentaPblica Unde los nios del Sename no asisten a la escuela que untiene retraso escolar",FALSE,0,NA,2018-06-04 15:27:35,FALSE,NA,"1003659538053107712",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","naxo_castro",117,TRUE,FALSE,NA,NA
"45","CuentaPblica",FALSE,0,NA,2018-06-04 15:25:20,FALSE,NA,"1003658973172649991",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DustyngAndres",11,TRUE,FALSE,NA,NA
"46","As quedar la red de Metro cuando se terminen las nuevas lneas que se anunciaron ayer en la CuentaPblica  Seguiremos t",FALSE,0,NA,2018-06-04 15:25:15,FALSE,NA,"1003658951702011904",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","schlomit_gixu",327,TRUE,FALSE,NA,NA
"47","A pesar del fronos trasladamos a Constitucin Y nuestrojunto a lvaro y Roco ende",FALSE,0,NA,2018-06-04 15:24:00,FALSE,NA,"1003658634382004224",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SilvaJibaja",1,TRUE,FALSE,NA,NA
"48","AHORAEl Presidenteen entrevista conpara referirse a los principales anuncios de l",FALSE,0,NA,2018-06-04 15:23:25,FALSE,NA,"1003658488101376000",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SubseNinez",30,TRUE,FALSE,NA,NA
"49","La semana pasada se realiz la CuentaPblica y quedamos con gusto a poco propuestas sin precisin y escasa mirada a la",FALSE,0,NA,2018-06-04 15:22:47,FALSE,NA,"1003658328424185857",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kichifredo",3,TRUE,FALSE,NA,NA
"50","ganancias
Isapres
Banca
AFP
Retail

Ese e",FALSE,0,NA,2018-06-04 15:22:09,FALSE,NA,"1003658170638561280",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","mizarisima",1037,TRUE,FALSE,NA,NA
"51","Debemos poner fin a las discriminaciones en el acceso por edad gnero o preexistencias haremos una Reforma al Sistem",FALSE,0,NA,2018-06-04 15:22:02,FALSE,NA,"1003658140490059778",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SarieCastro",114,TRUE,FALSE,NA,NA
"52","Porque es necesaria una ciruga mayor a la Salud avanzaremos a un nuevo modelo de atencin que otorgue ms poder a l",FALSE,0,NA,2018-06-04 15:21:39,FALSE,NA,"1003658042574098434",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SeremiSalud_Coq",1,TRUE,FALSE,NA,NA
"53","Frase del da enA la famosa CuentaPblica habr que ponerle un chivmetro porque mi to",FALSE,0,NA,2018-06-04 15:20:48,FALSE,NA,"1003657829310435329",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Piton9",17,TRUE,FALSE,NA,NA
"54","CuentaPblica",FALSE,0,NA,2018-06-04 15:19:40,FALSE,NA,"1003657543372197888",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LarryUribe",11,TRUE,FALSE,NA,NA
"55","Cadem Como dice un zurdo odiosotoma cachito de goma CuentaPblica",FALSE,1,"biobio",2018-06-04 15:19:22,FALSE,"1003628904911949825","1003657469292433408","14638581","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lucasaykal",0,FALSE,FALSE,NA,NA
"56","Ministradefiende dichos de Presidente Piera a Maya Fernndez en CuentaPblicadurante seminario organizado",FALSE,0,NA,2018-06-04 15:19:06,FALSE,NA,"1003657400946253824",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","cherydleiva",5,TRUE,FALSE,NA,NA
